							
END 2023							
lokakuu	1vk						
ruoka	27.11	14.07	16.82	15.49	14.42	1.99	
kodintarv	43.1		12.9	1.71	9.18	3.99	
kosmetiikka		6	58.49				
ravintola						8.49	
							
							
							
							
							
							
END							
lokakuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	48.66	29.9		5.26	8.7	21.43	19.06
kodintarv				3	29.99	14.67	14.38
kosmetiikka					8.49		
							
							
							
							
							
							
							
END							
lokakuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	17.44	21.8	15.79	26.99		21.55	15.57
kodintarv			15.15	2.09		2.75	
kosmetiikka			8.5				
vaatteet							81.95
							
							
							
							
							
							
END							
lokakuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	3.48	7.89		19.5	22.09		35.69
laake				9.95			
							
							
							
							
							
							
							
							
END							
lokakuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	52.05	15.71					
ravintola	10						
							
							
							
							
							
							
							
							
END							
marraskuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka					25.48	26.46	
kosmetiikka					9.95		11.22
kirjat					35.86		
kodintarv						3.42	
kukat						8.89	
							
							
							
							
							
END							
marraskuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	10	27.49		21.2	10.19	1.75	
vaatteet		10.5		32.5		84.4	
kodintarv			114.97		18.99		
ravintola			18.98			19.9	
leffa			17.4				
kosmetiikka				13.5	39.82		
							
							
							
							
END							
marraskuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	8.27	7.79		12.08	2.57		
vaatteet			18.5				
kosmetiikka			5.5	14.5			
kodintarv			2.6	3.99			
ravintola				6.4			
							
							
							
							
							
END							
marraskuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	29.32		5.59	12.15	8.03		45.5
kodintarv	10		11.18				
laake	7.75						
vaatteet	22.98						
kirjat			12.95				
							
							
							
							
							
END							
marraskuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	39.93			32.93	31.2	21.17	23.04
kodintarv	10			6.99		3.39	
							
							
							
							
							
							
							
							
END							
